county,year,NAAQS,PersonDays,fips code
adams,2018,2,205622,1
allegheny,2018,8,9747616,3
armstrong,2018,1,65263,5
beaver,2018,6,988452,7
berks,2018,4,1680608,11
blair,2018,0,0,13
bradford,2018,0,0,15
bucks,2018,12,7538340,17
cambria,2018,0,0,21
centre,2018,0,0,27
chester,2018,1,522046,29
clearfield,2018,1,79388,33
dauphin,2018,1,277097,43
delaware,2018,4,2259004,45
elk,2018,0,0,47
erie,2018,0,0,49
fayette,2018,1,130441,51
franklin,2018,0,0,55
greene,2018,0,0,59
indiana,2018,1,84501,63
lackawanna,2018,0,0,69
lancaster,2018,3,1630671,71
lawrence,2018,0,0,73
lebanon,2018,2,282628,75
lehigh,2018,2,736200,77
luzerne,2018,1,317646,79
lycoming,2018,0,0,81
mercer,2018,3,332049,85
monroe,2018,2,339014,89
montgomery,2018,7,5800228,91
northampton,2018,5,1524035,95
philadelphia,2018,10,15841380,101
somerset,2018,0,0,111
tioga,2018,0,0,117
washington,2018,2,414692,125
westmoreland,2018,2,701222,129
york,2018,1,448273,133
adams,2017,0,0,1
allegheny,2017,9,11007432,3
armstrong,2017,0,0,5
beaver,2017,2,332280,7
berks,2017,3,1253562,11
blair,2017,0,0,13
bradford,2017,0,0,15
bucks,2017,12,7540092,17
cambria,2017,0,0,21
centre,2017,0,0,27
chester,2017,5,2596465,29
clearfield,2017,0,0,33
dauphin,2017,0,0,43
delaware,2017,2,1129392,45
elk,2017,0,0,47
erie,2017,1,274541,49
franklin,2017,0,0,55
greene,2017,0,0,59
indiana,2017,0,0,63
lackawanna,2017,0,0,69
lancaster,2017,2,1085806,71
lawrence,2017,0,0,73
lebanon,2017,0,0,75
lehigh,2017,1,366494,77
luzerne,2017,0,0,79
lycoming,2017,0,0,81
mercer,2017,2,223500,85
monroe,2017,0,0,89
montgomery,2017,7,5782525,91
northampton,2017,1,303405,95
philadelphia,2017,12,18970356,101
somerset,2017,0,0,111
tioga,2017,0,0,117
washington,2017,0,0,125
westmoreland,2017,0,0,129
york,2017,0,0,133
adams,2016,5,510900,1
allegheny,2016,7,8577555,3
armstrong,2016,5,332430,5
beaver,2016,4,669716,7
berks,2016,6,2488872,11
blair,2016,2,249300,13
bradford,2016,0,0,15
bucks,2016,9,5637591,17
cambria,2016,0,0,21
centre,2016,2,322928,27
chester,2016,9,4646808,29
clearfield,2016,1,80596,33
dauphin,2016,4,1094828,43
delaware,2016,5,2817010,45
elk,2016,3,91440,47
erie,2016,2,552414,49
franklin,2016,0,0,55
greene,2016,1,37197,59
indiana,2016,4,345456,63
lackawanna,2016,4,845284,69
lancaster,2016,4,2154000,71
lawrence,2016,1,87294,73
lebanon,2016,5,694315,75
lehigh,2016,5,1815735,77
luzerne,2016,1,316383,79
lycoming,2016,1,115248,81
mercer,2016,3,338739,85
monroe,2016,3,498294,89
montgomery,2016,5,4108625,91
northampton,2016,7,2116058,95
philadelphia,2016,9,14110848,101
somerset,2016,1,75061,111
tioga,2016,2,82934,117
washington,2016,3,623943,125
westmoreland,2016,5,1777290,129
york,2016,5,2218720,133
adams,2015,1,102295,1
allegheny,2015,9,11074131,3
armstrong,2015,3,201156,5
beaver,2015,4,675484,7
berks,2015,5,2076355,11
blair,2015,2,251186,13
bradford,2015,0,0,15
bucks,2015,15,9410505,17
cambria,2015,0,0,21
